[000:00:06;271] OO
[003:40:23;589] TO SELL.
[003:40:24;990] >> SURE, IF THE TRIBE GOT
[003:40:28;494] FOR 8,000 OR 10,000 CARS.
[003:40:37;936] THERE IS A LARGER ISSUE.
[003:40:47;313] NOTHING.
[003:40:54;552] THEY HAVE THE MEANS TO DO
[003:40:56;387] JIM HICKEY, ABC NEWS,
[003:41:01;359] >>> A GLIMPSE TODAY
[003:41:02;227] OF THE CLINTON'S TASTE
[003:41:03;328] IN OFFICE FURNISHINGS.
[003:41:17;075] PERHAPS IN THEIR OWN BACK
[003:41:17;909] YARD.
[003:41:21;813] WORLD FOR OVER 20 YEARS.
[003:41:23;682] TO SEE THE OLYMPICS
[003:41:30;355] EXPERIENCE.
[003:41:31;623] >> CHINA'S LEADERS HAVE
[003:41:34;325] TO TRY TO BRING THE GAMES
[003:41:35;127] TO BEIJING.
[003:41:36;061] THEY HAVE FESTOONED THE CITY
[003:41:38;363] AND BANNERS.
[003:41:46;237] VISITING MEMBERS
[003:41:48;173] COMMITTEE, PUTTING
[003:41:50;942] PRESIDENT, EVEN ORDERING
[003:41:53;611] DURING THEIR VISIT TO TRY
[003:41:54;646] TO CLEAR THE CITY'S
[003:41:56;014] NOTORIOUSLY POLLUTED AIR.
[003:42:00;451] FOR THE OLYMPICS DOES NOT
[003:42:01;319] SIT WELL WITH MANY
[003:42:02;054] OF CHINA'S CRITICS.
[003:42:05;756] AND ITS BLOODY SUPPRESSION
[003:42:06;757] OF DEMOCRACY PROTESTS
[003:42:12;997] THE U.S. HOUSE OF
[003:42:18;202] >> WE MUST NOT ALLOW
[003:42:20;104] THE OLYMPICS TO BE
[003:42:21;538] ASSOCIATED WITH A
[003:42:27;344] >> CHINESE OFFICIALS CONDEMN
[003:42:28;913] THE HOUSE RESOLUTION
[003:42:29;646] AS CONTRARY TO THE OLYMPIC
[003:42:31;916] >> THE POLITICAL AFFAIR
[003:42:34;118] SHOULD BE SOLVED
[003:42:34;785] BY POLITICIANS AND OLYMPIC
[003:42:38;756] DETERMINED, DECIDED
[003:42:41;225] >> POLITICS ARE NOT SUPPOSED
[003:42:47;497] AT PRACTICAL MATTERS --
[003:42:50;500] HOUSING, TRANSPORTATION.
[003:42:54;004] DURING THE ATTACK ON THE TRUCK
[003:42:54;805] DRIVER -- AT THE START OF THE
[003:42:56;140] LOS ANGELES RIOTS. THE RADIO
[003:42:56;907] AND T-V REPORTER SAYS HE SAW
[003:42:58;308] ONE OF THE DEFENDANTS, HENRY
[003:42:59;276] WATSON, PIN DENNY TO THE GROUND
[003:43:00;811] WITH HIS RIGHT LEG. TUR SAYS HE
[003:43:01;612] WATCHED AS THE SECOND
[003:43:02;246] DEFENDANT, DAMIAN WILLIAMS,
[003:43:03;580] SWUNG A BRICK INTO THE BACK OF
[003:43:05;716] GAVE WHAT TUR DESCRIBED AS A
[003:43:06;483] "VICTORY SIGN" WITH HIS HANDS
[003:43:07;785] AND FINGERS. TUR SAYS THERE'S
[003:43:08;585] "NO DOUBT" ABOUT THE ATTACKERS'
[003:43:09;386] IDENTITIES.
[003:43:15;325] DEFENSE ATTORNIES
[003:44:18;588] ARE ATTACKING BOB TUR'S
[003:44:19;255] CREDIBILITY.
[003:44:20;390] THEY QUESTION HOW ANYONE IN A
[003:44:22;959] CIRCLING HELICOPTER COULD HAVE
[003:44:23;760] SEEN IN DETAIL WHAT WAS
[003:44:24;795] HAPPENING ON THE STREET BELOW.
[003:44:27;864] IS THE CITY OF PLEASANTON
[003:44:29;265] ABOUT TO PULL THE PLUG ON RAP
[003:44:30;033] AND REGGAE MUSIC?
[003:44:31;435] WELL, THE CITY'S POLICE CHIEF
[003:44:33;337] CERTAINLY ISN'T HAPPY ABOUT A
[003:44:34;270] CONCERT SCHEDULED FOR TOMORROW
[003:44:36;172] NIGHT... JUST OUTSIDE THE CITY
[003:44:36;973] LIMITS.
[003:44:37;774] THE CHIEF HAS GONE ON RECORD
[003:44:39;242] AS SAYING THAT IF VIOLENCE
[003:44:40;143] BREAKS OUT AT THE CONCERT,
[003:44:41;478] HE'LL TELL HIS OFFICERS NOT TO
[003:44:42;278] RESPOND.
[003:44:44;714] "IF THERE IS INADEQUATE
[003:44:47;217] STAFFING ON THE PART OF THE
[003:44:48;251] COUNTY, I WILL ADVISE THE
[003:44:49;352] SHERIFF'S PEOPLE THAT WE WILL
[003:44:50;954] NOT RESPOND BECAUSE WE HAVE AN
[003:44:53;656] WE ARE GOING TO HAVE ENOUGH TO
[003:44:55;424] HANDLE ON LABOR DAY HERE, THAT
[003:44:56;492] I CAN'T TAKE HALF OF OUR FORCE
[003:44:58;862] AND PUT THEM OUT THERE ON ONE
[003:44:59;628] DAY'S NOTICE."
[003:45:02;232] THE CONCERT PROMOTERS ACCUSE
[003:45:04;234] THE TOWN AND THE POLICE OF
[003:45:05;401] RACISM... OF TRYING TO KEEP
[003:45:06;535] BLACK MUSIC FANS OUT OF THE
[003:45:07;270] AREA.
[003:45:11;007] THE PROMOTERS SAY THEY'VE
[003:45:13;109] HIRED 120 SECURITY GUARDS TO
[003:45:14;143] KEEP ORDER AT THE EVENT.
[003:45:17;646] THE LABOR DAY WEEKEND MAY MEAN
[003:45:19;249] FUN AND GAMES FOR MOST OF US,
[003:45:20;016] BUT FOR EAST BAY FIRE
[003:45:21;117] DEPARTMENTS THIS IS GOING TO BE
[003:45:25;721] CURB ILLEGAL
[003:45:29;359] WILL DENYN.  IT
[003:45:30;459] TO ILLEGALENSE
[003:45:33;496] MORE ANTS.  PUTTING
[003:45:35;198] THIND SED DRIVERS
[003:45:36;099] CAME IT'S RACIALLY
[003:45:38;768] BIASED. .
[003:45:40;069] THAT OOD
[003:45:42;838] SET TGENNOR
[003:45:44;974] TROUBLE LIFORNIA
[003:45:46;575] AN PANDERING
[003:45:48;912] FEARS ARES
[003:45:52;715] DETESTABLE
[003:45:53;216] OF  MUCHACHES
[003:45:55;551] A BLEEDING HEART
[003:45:57;586] LIBERAL.
[003:45:58;187] APPROVED
[003:46:00;390] AND SENATE.Y
[003:46:05;461] ILLEGAL  THE
[003:46:08;130] TO DENY  AMENDMENT
[003:46:10;433] TO THEEDUCATION
[003:46:14;002] HILDREN OF ILLEGALS.
[003:46:15;137] YOU ILLEGALLY.
[003:46:21;276] BORDER EARY
[003:46:22;978] BENEFICIAL
[003:46:26;816] HER OMELE
[003:46:29;251] JEOPARDY THEYOUT
[003:46:30;385] DO SO.NTINUE TO
[003:46:32;321] TODAY GAINY
[003:46:34;256] INTO TO
[003:46:38;260] STATE URBSL
[003:46:40;329] ILLEGAL I AM
[003:46:43;599] DWRANTS KNOW.
[003:46:44;600] OF TE DEPARTMENT
[003:46:46;669] FROM NT CAME
[003:46:48;971] SHERIFF'S DA
[003:46:51;106] FROM NT CAME
[003:46:51;106] SHERIFF'S DA
[003:46:51;106] PARK RANGERS
[003:46:57;480] HE WON'T BE 100%,
[003:46:57;480] BUT YES, HE CAN FIGHT.
[003:47:02;184] BUT I WON'T TAKE RESPONSIBILITY.
[003:47:06;154] WELL... IT'S UP TO YOU, QUINN.
[003:47:09;692] DO YOU WANT
[003:47:09;692] TO WITHDRAW?
[003:47:32;881] SO WHAT'S THE MATTER?
[003:47:34;616] ARE WE GOING
[003:47:34;616] TO FIGHT OR WHAT?
[003:47:37;151] ( growls )
[003:47:38;920] ( sighs )
[003:47:40;154] I WONDER HOW LONG
[003:47:40;154] THEY'RE GOING TO WAIT.
[003:47:43;024] ( crowd chanting "Steve" )
[003:47:56;671] WHAT'S THE MATTER?
[003:47:58;439] IS ARMSTRONG TOO YELLOW
[003:47:58;439] TO COME DOWN AND FIGHT TONIGHT?
[003:48:02;644] HORN IS CHAMPION!
[003:48:12;854] LADIES AND GENTLEMEN!
[003:48:15;189] PLEASE!
[003:48:21;529] Shorty:
[003:48:21;529] ALL RIGHT, KID, EASY, EASY.
[003:48:23;965] ARE YOU OKAY?
[003:48:25;433] YEAH, I'M OKAY.
[003:48:26;968] GUYS, DO YOU MIND GIVING ME
[003:48:26;968] A MINUTE ALONE WITH STEVE?
[003:48:30;772] Steve:
[003:48:30;772] WHAT FOR?
[003:48:34;542] YOU, TOO, SHORTY.
[003:48:36;477] THANK YOU.
[003:48:38;212] WHY?
[003:48:39;847] WHAT'S GOING ON?
[003:48:41;449] JUST TELL ME ONE THING.
[003:48:43;818] WHAT?
[003:48:45;419] WHO WERE YOU WITH
[003:48:45;419] LAST NIGHT?
[003:48:48;288] WHAT ARE YOU
[003:48:48;288] TALKING ABOUT?
[003:48:50;290] WAS IT THE GIRL
[003:48:50;290] WHO CAME TO THE GYM?
[003:48:52;960] LOOK, THAT'S MY BUSINESS.
[003:48:55;929] YOU'RE MY FIGHTER.
[003:48:57;731] YOU'RE UNDER
[003:48:57;731] CONTRACT.
[003:48:59;600] I SAID MY PRIVATE LIFE
[003:48:59;600] IS MY BUSINESS.
[003:49:03;670] SHE'S ROGOR'S GIRL, STEVE.
[003:49:15;248] WHERE IS SHE?
[003:49:16;416] STEVE, IT'S NOT...
[003:49:17;684] NEVER MIND,
[003:49:17;684] I'LL FIND HER.
[003:49:19;519] WHAT ABOUT
[003:49:19;519] THE FIGHT?
[003:49:20;954] THE FIGHT
[003:49:20;954] IS BETWEEN ME AND ROGOR.
[003:49:23;023] IF YOU WANT
[003:49:23;023] TO GET TO ROGOR
[003:49:24;658] THEN GO OUT THERE
[003:49:24;658] AND FIGHT HORN
[003:49:27;360] AND WIN.
[003:49:29;596] ( crowd cheering )
[003:49:32;766] LISTEN TO THEM, STEVE.
[003:49:34;668] THEY'RE CALLING FOR YOU.
[003:49:40;573] THEY BELIEVE
[003:49:40;573] IN YOU.
[003:49:42;976] I BELIEVE IN YOU.
[003:49:49;449] JUST FORGET ABOUT ROGOR.
[003:49:53;386] JUST DO IT FOR YOURSELF.
[003:50:01;762] GENTLEMEN!
[003:50:03;496] LADIES!
[003:50:05;231] DUE TO CIRCUMSTANCES BEYOND...
[003:50:10;136] WELL, THAT'S IT.
[003:50:11;304] THEY'RE CANCELING THE FIGHT.
[003:50:13;239] WHERE IS HE?
[003:50:20;313] WHERE HAVE YOU BEEN?
[003:50:22;348] I'M TERRIBLY SORRY
[003:50:22;348] FOR THE DELAY
[003:50:25;318] BUT TONIGHT'S CHAMPIONSHIP MATCH
[003:50:25;318] IS ABOUT TO BEGIN!
[003:50:36;028] I GAVE HIM THE POISON.
[003:50:37;830] OBVIOUSLY NOT ENOUGH.
[003:50:41;601] YOU HEARD THE BOX FANS.
[003:50:43;203] THE HUMAN IS MOVING
[003:50:43;203] DOWN TOWARD THE RING
[003:50:46;072] EVEN AS WE SPEAK.
[003:50:47;640] AFTER A SLIGHT DELAY
[003:50:49;141] THE CHALLENGER IS FINALLY
[003:50:49;141] STEPPING INTO THE RING.
[003:50:52;878] WEEZIL?
[003:50:54;581] WEEZIL, GET UP HERE NOW.
[003:51:03;189] HEY.
[003:51:04;457] ARE YOU OKAY?
[003:51:05;725] YOU STAY IN MY CORNER TONIGHT.
[003:51:08;761] YOU KNOW I WILL.
[003:51:13;299] ( buzzer )
[003:51:21;708] ( buzzer )
[003:51:26;546] HUMAN TRASH.
[003:51:27;947] ( growls )
[003:51:39;658] 
[003:51:39;658] ARMSTRONG, YOU DIE NOW.
[003:51:45;464] WHAT IS IT, MR. ROGOR?
[003:51:49;135] THAT PLAN OF SKULL'S--
[003:51:51;203] WILL IT WORK?
[003:51:52;604] YOU MEAN
[003:51:54;006] ABOUT THE HANDICAPPER?
[003:51:55;574] NO PROBLEM, MR. ROGOR.
[003:51:57;509] NO PROBLEM.
[003:51:58;944] DO IT.
[003:51:59;645] RIGHT.
[003:52:00;712] WEEZIL!
[003:52:01;847] DO IT ALL THE WAY.
[003:52:05;918] THEN WE WON'T HAVE TO WORRY
[003:52:05;918] ABOUT QUINN'S PROTEGE ANYMORE.
[003:52:10;589] BRILLIANT, MR. ROGOR.
[003:52:14;126] BRILLIANT.
[003:52:44;023] HE'S STAYING
[003:52:44;023] WITH HIM, HUH?
[003:53:46;751] SKULL, WE'RE HOOKED IN.
[003:53:51;356] SKULL!
[003:53:52;456] AH.
[003:53:53;524] Skull, where are you?
[003:53:55;360] I'M HERE, WEEZIL.
[003:53:56;895] JUST KEEP YOUR EYE
[003:53:56;895] ON THE RELAY BOX.
[003:53:59;297] DON'T CHANGE ANYTHING
[003:53:59;297] FOR THE FIRST ROUND.
[003:54:01;900] WE WANT THIS TO LOOK LEGIT.
[003:54:10;140] HIT HIM HARDER!
[003:54:20;384] Shorty:
[003:54:20;384] YEAH, ROOKIE!
[003:54:28;926] ( buzzer )
[003:54:30;327] Score: one to Armstrong.
[003:54:32;062] I BET THAT HURT!
[003:54:33;798] Armstrong 1, Horn 0.
[003:54:38;168] ( groaning )
[003:54:44;341] GET THIS FIGHT MOVING!
[003:54:48;579] YOU'RE LOOKING
[003:54:48;579] GOOD, KID.
[003:54:50;213] HE NEVER EVEN LAID
[003:54:51;449] A HORN ON YOU!
[003:54:55;986] YOU REALLY DO FEEL
[003:54:55;986] SOMETHING FOR HIM
[003:54:58;756] DON'T YOU?
[003:55:00;758] NOTHING.
[003:55:03;594] ( sighs )
[003:55:07;164] THE SECOND ROUND.
[003:55:09;967] NOW WE HUMILIATE HIM.
[003:55:12;803] NOW THAT HE'S USED
[003:55:14;438] TO HIS HANDICAP, HE'LL COME ON
[003:55:14;438] REAL STRONG, SO STAY ON HIM.
[003:55:18;141] OKAY.
[003:55:19;276] JUST KEEP THAT
[003:55:19;276] KILLER INSTINCT.
[003:55:21;479] Fighters to center ring.
[003:55:25;282] ( growling )
[003:55:37;727] COME ON.
[003:55:39;462] COME ON!
[003:55:40;630] GO AHEAD!
[003:55:42;532] WHAT'S GOING ON?
[003:55:46;335] NOW WE'RE GOING
[003:55:46;335] TO HAVE SOME FUN.
[003:55:50;807] BLAST OFF!
[003:55:52;241] ( high-pitched whirring )
[003:56:00;650] COME ON!
[003:56:02;051] WHAT'S THE MATTER?!
[003:56:03;720] COME ON!
[003:56:04;721] COME ON!
[003:56:07;490] GIVE ME
[003:56:07;490] YOUR BEST SHOT!
[003:56:12;028] COME ON AND FIGHT!
[003:56:13;563] COME ON, FIGHT!
[003:56:19;035] STAY AWAY FROM HIM!
[003:56:20;436] DOESN'T LOOK GOOD.
[003:56:27;010] COME ON, STEVE!
[003:56:28;277] TAKE HIM APART!
[003:56:31;280] I DARE YOU-- COME ON!
[003:56:33;149] YAH!
[003:56:37;086] Horn:
[003:56:37;086] COME ON!
[003:56:40;189] HORN!
[003:56:41;357] HORN!
[003:56:42;358] HEY, GET UP, KID!
[003:56:43;693] GET UP!
[003:56:49;265] COME ON!
[003:57:02;277] HORN!
[003:57:10;418] ( booing )
[003:57:12;454] Quinn:
[003:57:12;454] HE'S PLAYING
[003:57:12;454] WITH HIM.
[003:57:25;233] I SMELL A RAT...
[003:57:27;603] OR A WEEZIL.
[003:57:47;388] Horn:
[003:57:47;388] COME ON, FIGHT!
[003:57:51;493] ( buzzer )
[003:57:53;161] HORN!
[003:57:54;329] CHAMPION!
[003:57:55;998] Score: one to Horn.
[003:57:58;533] I DON'T HAVE
[003:57:58;533] ANY STRENGTH LEFT.
[003:58:00;769] HE'S WORKING
[003:58:00;769] YOU HARD.
[003:58:02;370] YOU KNEW THIS WAS
[003:58:02;370] GOING TO BE A TOUGH FIGHT.
[003:58:05;340] I DON'T HAVE
[003:58:05;340] ANY STRENGTH OUT THERE.
[003:58:08;043] I'M CALLING THIS MATCH.
[003:58:10;178] NO, I'M GOING
[003:58:10;178] TO FINISH THIS FIGHT!
[003:58:14;782] IT'S OKAY, BOSS.
[003:58:15;683] HE CAN DO IT.
[003:58:21;556] OKAY.
[003:58:24;058] GIVE HIM SOME WATER.
[003:58:30;298] I'LL GIVE HIM A NIGHT
[003:58:30;298] HE WON'T FORGET!
[003:58:33;000] Five seconds to round start.
[003:58:36;638] ROUND THREE, SKULL.
[003:58:38;139] NOW WE KILL HIM.
[003:58:39;574] Fighters to center ring.
[003:58:41;409] THIS IS
[003:58:41;409] YOUR ROUND, CHAMP.
[003:59:09;837] AH!
[003:59:10;971] AH!
[003:59:20;415] ( booing )
[003:59:41;035] SMASH THE FACE!
[003:59:44;138] HEY!
[003:59:45;906] WHAT ARE YOU DOING
[003:59:47;208] SPACE RAT?!
[003:59:48;709] NEBULITE!
[003:59:51;212] GO GET HIM!
[004:00:07;061] 
[004:00:07;061] ( booing )
[004:00:08;662] HE'S GOING
[004:00:08;662] TO KILL HIM!
[004:00:10;631] YOU'VE GOT
[004:00:10;631] TO STOP IT!
[004:00:18;172] COME ON!
[004:00:19;640] GET UP!
[004:00:24;812] AFTER COMING THIS FAR?!
[004:00:38;659] GET UP!
[004:00:39;726] COME ON, STEVE, GET UP!
[004:00:42;129] Knockdown. Count start:
[004:00:46;767] One...
[004:00:50;804] Two...
[004:00:54;140] Three...
[004:00:58;111] Four...
[004:01:01;348] Five...
[004:01:02;649] ( stuttering: )
[004:01:02;649] SKULL... SKULL... SKULL!
[004:01:07;954] ( screams )
[004:01:10;990] ( screaming )
[004:01:15;061] Six...
[004:01:18;131] Seven...
[004:01:21;000] LOOK AT
[004:01:21;000] THE HANDICAPPER.
[004:01:22;502] Eight...
[004:01:24;404] NEBULITE!
[004:01:26;139] Nine...
[004:01:27;841] HE'S GETTING UP!
[004:01:30;310] Countdown discontinued.
[004:01:32;579] Match resumes.
[004:02:05;645] NEBULITE!
[004:02:13;185] ( screaming )
[004:03:32;464] ( buzzer )
[004:03:35;266] Knockdown. Count start:
[004:03:39;771] One...
[004:03:41;272] Two...
[004:03:43;942] Three...
[004:03:45;944] Four...
[004:03:47;946] Five...
[004:03:49;046] THE HANDICAPPER'S OUT!
[004:03:50;949] CAN'T THEY SEE THAT?!
[004:03:52;784] Seven...
[004:03:55;687] Eight...
[004:03:58;022] Nine...
[004:03:59;958] Ten.
[004:04:04;128] Knockout.
[004:04:05;630] Match to Armstrong.
[004:04:07;665] The new and undefeated champion
[004:04:07;665] of the universe--
[004:04:12;336] Steve Armstrong.
[004:05:03;453] JADE!
[004:05:14;364] YOU DID IT!
[004:05:15;933] HEY, THEY TRIED TO FIX
[004:05:15;933] THE HANDICAPPER!
[004:05:26;810] Rogor:
[004:05:26;810] JADE!
[004:05:29;312] JADE!
[004:05:35;652] DON'T GO.
[004:05:37;153] YOU KNOW, ROGOR,
[004:05:37;153] THERE'S AN OLD SAYING--
[004:05:39;723] WHEN IT'S OVER, IT'S OVER.
[004:05:41;491] AND GUESS WHAT?
[004:05:44;294] IT'S OVER.
[004:06:06;116] STEVE!
[004:06:09;586] STEVE!
[004:06:39;548] TV announcer:
[004:06:39;548] AND THERE YOU HAVE IT,
[004:06:39;548] LADIES AND GENTLEMEN--
[004:06:43;218] THE FIRST HUMAN TITLEHOLDER
[004:06:43;218] IN OVER 50 YEARS.
[004:06:46;555] WHAT IS IN STORE FOR
[004:06:46;555] THIS YOUNG MAN, NO ONE CAN SAY
[004:06:50;292] BUT AS LONG AS THERE ARE
[004:06:50;292] STEVE ARMSTRONGS
[004:06:53;963] out there in the universe
[004:06:56;231] there will always be contenders.
[004:07:01;837] Captioned by
[004:07:01;837] The Caption Center
[004:07:01;837] WGBH Educational Foundation
[004:07:11;380] 1zzMpSé>ArFPREV.
[004:07:17;586] [WHISTLE BLOWS]
[004:07:19;088] HAS A CHANCE
[004:07:19;088] TO TAKE THE LEAD
[004:07:19;088] IF SHE CAN GET 10.
[004:07:28;330] VERY GOOD STRATEGY.
[004:07:29;998] THEY COME RIGHT OUT
[004:07:29;998] TO THE MIDDLE,
[004:07:29;998] THE CONTENDERS,
[004:07:33;034] WAIT FOR
[004:07:33;034] THE GLADIATOR
[004:07:33;034] TO MAKE A MOVE,
[004:07:35;704] THEN TRY TO
[004:07:35;704] BEAT IT AROUND.
[004:07:38;039] BETSY GETS
[004:07:38;039] ANOTHER RING.
[004:07:39;675] OH. SHE HAD
[004:07:39;675] A CHANCE THERE
[004:07:39;675] MOMENTARILY.
[004:07:43;812] ELEKTRA'S GOT HER
[004:07:43;812] ALL LOCKED UP
[004:07:45;847] AND MANAGES
[004:07:45;847] TO PULL OFF
[004:07:47;716] ONE OF THOSE--
[004:07:49;551] GOT IT IN THE NOSE.
[004:07:51;587] YEAH, BETSY ERICKSON
[004:07:51;587] FELL DIRECTLY ON TOP
[004:07:51;587] OF ELEKTRA,
[004:07:55;090] AND YOU CAN SEE
[004:07:55;090] BLOOD ON THE BRIDGE
[004:07:55;090] OF HER NOSE.
[004:07:58;860] ELEKTRA
[004:07:58;860] OVERTAKING BETSY.
[004:08:00;862] GETS HER LEGS
[004:08:00;862] WRAPPED AROUND HER.
[004:08:03;098] GOES TO STRIP
[004:08:03;098] THIS LEFT HAND OFF.
[004:08:06;000] IT COMES OFF,
[004:08:06;000] NO CAPTIONING IS AVAILABLE FOR
[004:08:15;877] THIS STORY.
[004:08:59;853] NO CAPTIONING IS AVAILABLE FOR
[004:09:00;655] THIS STORY.
[004:09:11;265] NO CAPTIONING IS AVAILABLE FOR
[004:09:12;065] THIS STORY.
[004:11:07;180] IN MARIN COUNTY... AUTHORITIES
[004:11:08;315] HAVE BROKEN UP WHAT THEY SAY IS
[004:11:10;417] A LARGE AND SOPHISTICATED
[004:11:11;351] MARIJUANA GROWING OPERATION.
[004:11:13;486] SHERIFF'S DEPUTIES YESTERDAY
[004:11:14;554] CONFISCATED APPROXIMATELY
[004:11:15;989] 1-THOUSAND MARIJUANA PLANTS
[004:11:17;157] FROM A BUILDING IN NICASIO.
[004:11:20;760] THEY ALSO ARRESTED 45- YEAR
[004:11:21;528] OLD ALAN AGER.
[004:11:23;329] POLICE SAY THE MARIJUANA HAD A
[004:11:25;799] STREET VALUE OF 600-THOUSAND
[004:11:26;566] DOLLARS.
[004:11:27;834] POLICE HAVE TURNED THE CASE
[004:11:28;735] OVER TO FEDERAL DRUG
[004:11:29;368] ENFORCEMENT OFFICIALS FOR
[004:11:30;069] PROSECUTION.
[004:11:33;139] CONVICTED DRUG DEALERS OFTEN
[004:11:34;173] FACE MORE THAN JAIL SENTENCES
[004:11:34;941] AND FINES.
[004:11:36;776] FEDERAL LAW ALSO PERMITS
[004:11:38;010] OFFICIALS TO CONFISCATE PRIVATE
[004:11:39;946] PROPERTY USED IN CONNECTION
[004:11:40;680] WITH DRUG DEALS.
[004:11:43;182] THAT MAY BE PROMPTING SOME
[004:11:44;250] MARIJUANA GROWERS IN NORTHERN
[004:11:45;318] CALIFORNIA TO EMPLOY NEW
[004:11:46;453] STRATEGIES TO PROTECT
[004:11:48;154] THEMSELVES FROM SUCH PROPERTY
[004:11:48;922] SEIZURES.
[004:11:49;556] JIM VARGAS REPORTS.
[004:11:53;593] THIS IS ALL THE MARIJUANA THAT
[004:11:54;928] REMAINS IN THE HANDS OF MOUNT
[004:11:56;362] TAMALPAIS STATE PARK RANGERS.
[004:11:58;765] FEDERAL DRUG AGENTS HAVE THE
[004:11:59;532] REST.
[004:12:00;967] FOR TWO WEEKS ... STATE AND
[004:12:02;034] FEDERAL PARK RANGERS, DEA
[004:12:03;135] AGENTS, AND LOCAL SHERIFF'S
[004:12:04;103] DEPUTIES COMBED THE
[004:12:05;338] MOUNTAINSIDES, FERRETING-OUT
[004:12:06;439] WHAT ONE RANGER CALLS 'FARMS.'
[004:12:08;641] MORE FARMS THAN JOHN PELONIO
[004:12:09;709] HAS EVER SEEN ON THE MOUNTAIN
[004:12:10;477] BEFORE.
[004:12:13;012] John Pelonio/Park Ranger From
[004:12:14;080] what we've detected, quite a
[004:12:15;214] lot more than previous years.
[004:12:16;315] We're not sure if more people
[004:12:18;417] are growing it, if the same
[004:12:19;586] people are growing more of it,
[004:12:20;653] or we just didn't detect it in
[004:12:21;454] previous years.
[004:12:22;822] BUT, HE ADDS, IT MAY ALSO BE A
[004:12:23;890] NEW, WELL-THOUGHT OUT STRATEGY:
[004:12:26;025] AVOIDING THE LAWS THAT ALLOW
[004:12:27;093] AUTHORITIES TO CONFISCATE
[004:12:28;260] PRIVATE LANDS WHERE MARIJUANA
[004:12:29;028] IS CULTIVATED.
[004:12:31;564] So, if they come out to public
[004:12:32;599] lands they only lose their crop
[004:12:33;700] and whatever property they were
[004:12:34;801] using to cultivate the crop.
[004:12:37;036] THAT MAY BE A SMART STRATEGY BY
[004:12:38;137] THE GROWERS, BUT IT IS DAMAGING
[004:12:40;206] THE PARK, ACCORDING TO THE
[004:12:40;939] RANGER.
[004:12:42;475] PELONIO SAYS MARIJUANA FARMERS
[004:12:43;575] HURT THE PARK BY DIGGING HOLES,
[004:12:44;543] SPREADING FERTILIZER, AND
[004:12:46;778] SETTING TRAPS THAT KILL WILD
[004:12:47;546] ANIMALS.
[004:12:50;082] We have people out here setting
[004:12:52;251] traps, using poisons and other
[004:12:53;319] chemcials that could get into
[004:12:54;353] the ground water. They're
[004:12:55;521] killing our wildlife, they're
[004:12:56;622] cutting down trees and shrubs,
[004:12:57;723] and digging in the hillsides in
[004:12:58;690] order to plant their crop.
[004:13:00;826] Ranger Pelonio says
[004:13:01;560] confiscating the marijuana and
[004:13:02;361] the farming tools doesn't close
[004:13:03;162] the case. Investigators are
[004:13:03;896] following leads they hope will
[004:13:04;696] result with the arrests of the
[004:13:05;498] marijuana farmers. On Mt.
[004:13:06;198] Tamalpais, Jim Vargas for the
[004:13:06;965] Ten O'Clock News.
[004:13:12;704] ROAS A THIN PERSON AND
[004:13:14;240] HAD HER PUT ON WHAT'S
[004:13:15;441] CALLED A FATUIT.
[004:13:16;575] IT'SZNG TO SEE THE
[004:13:17;776] CHANGES IN HOW PEOPLE REACT
[004:13:20;479] LYNDAL MARKS REPORTS.
[004:13:22;781] >> DISCRIMINATION, NOA
[004:13:25;884] LAUGHING MATTER.
[004:13:26;852] >> WITH PEOPLE ALL OVER THE
[004:13:29;121] COUNTRY PROTESTING AGAINST
[004:13:30;889] DISCRIMINATION BASED ON
[004:13:31;857] SIZE, "A CURRENT AFFAIR"
[004:13:32;791] TOOK THE QUESTION TO THE
[004:13:33;692] STREET.
[004:13:34;160] TREATED DIFFERENTLY BED
[004:13:42;901] O SIZE.
[004:13:43;902] WE HIRED MODEL VALERIE
[004:13:45;271] PRIMO TO PLAY THE HEAVIEST
[004:13:46;605] ROLE IN HER LIFE BY WEARING
[004:13:48;740] A COSTUME THAT DRASTICALLY
[004:13:50;609] CHANGED HER APPEARANCE.
[004:13:51;444] >> WHEN I WENT OUT ON THE
[004:13:52;678] STREET THE FIRST TIME, I
[004:13:53;844] WAS VERY EXCITED.
[004:13:55;480] I WAS DYING FOR PEOPLE TO
[004:13:57;248] STARE AT ME, DYING FOR
[004:13:58;683] PEOPLE TO LOOK AT ME.
[004:14:00;251] THAT RAPIDLY CHANGED.
[004:14:01;352] >> WE TOOK VALERIE TO THE
[004:14:03;188] STUDIO OF RICHARD IT
[004:14:06;558] TORKUS.
[004:14:06;991] HE CREATED THE ILLUSION
[004:14:07;758] THAT VALERIE WAS 200 POUNDS
[004:14:09;327] HEAVIER THAN SHE REALLY
[004:14:10;428] IS.
[004:14:10;795] >> I WENT TO MCDONEAL'S
[004:14:12;530] WITH NO GUILT BEFORE THIS
[004:14:13;698] JOB.
[004:14:14;099] >> AND THEN IN AND OUT OF
[004:14:16;234] COSTUME IT WAS ON TO THE
[004:14:17;368] STREET.
[004:14:18;269] >> BEING A LARGE WOMAN, YOU
[004:14:19;704] HAVE TO SHOP JUST LIKE
[004:14:21;139] EVERYONE ELSE.
[004:14:21;706] SO I WAS STANDING IN FRONT
[004:14:23;308] OF A FOOD STORE WITH A
[004:14:24;476] COUPLE OF BAGS AND A
[004:14:25;510] PURSE.
